150.00,150.00,-1.00,0.00
141.07,154.50,0.00,1.00
137.54,163.86,0.00,1.00
158.95,154.47,0.00,1.00
137.67,173.86,1.00,2.00
166.58,160.93,0.00,1.00
133.95,183.14,2.00,2.00
175.93,164.47,3.00,2.00
148.07,140.19,0.00,1.00
127.70,162.10,1.00,2.00
140.36,133.81,0.00,1.00
185.91,165.10,5.00,2.00
134.61,125.63,8.00,2.00
117.74,161.22,2.00,2.00
189.80,174.31,7.00,3.00
195.76,182.34,11.00,3.00
127.60,190.87,4.00,3.00
177.76,154.64,3.00,2.00
118.65,195.33,6.00,3.00
202.23,189.97,14.00,4.00
184.41,147.17,7.00,3.00
210.50,195.59,15.00,4.00
217.51,202.72,19.00,5.00
187.69,137.73,17.00,3.00
187.04,127.75,20.00,4.00
196.67,125.07,23.00,4.00
217.12,188.09,19.00,5.00
124.89,123.31,10.00,2.00
204.37,118.69,24.00,5.00
127.72,113.72,12.00,3.00
210.06,110.46,25.00,5.00
118.05,111.18,27.00,3.00
219.84,212.44,21.00,5.00
205.12,101.76,28.00,6.00
217.70,222.21,22.00,6.00
213.58,96.43,30.00,6.00
211.26,125.93,25.00,5.00
108.66,107.72,29.00,4.00
213.36,231.22,32.00,6.00
212.96,241.21,34.00,7.00
211.27,86.70,33.00,7.00
205.57,78.48,35.00,7.00
102.06,100.21,31.00,4.00
108.71,196.43,16.00,4.00
219.96,248.35,38.00,7.00
107.94,159.21,9.00,3.00
219.87,81.60,35.00,7.00
213.81,256.23,39.00,8.00
198.65,71.26,40.00,8.00
227.96,254.36,39.00,8.00
216.92,134.18,28.00,6.00
192.76,152.68,11.00,3.00
184.68,118.03,23.00,4.00
237.22,250.61,44.00,8.00
212.47,266.14,44.00,8.00
203.76,62.67,41.00,8.00
215.49,77.26,35.00,7.00
247.22,250.62,49.00,9.00
229.86,81.03,40.00,8.00
239.45,78.19,46.00,8.00
206.29,274.00,47.00,9.00
118.07,130.62,12.00,3.00
256.58,254.14,53.00,9.00
214.34,279.93,54.00,9.00
262.63,262.11,57.00,10.00
206.70,53.11,48.00,9.00
98.97,194.17,18.00,4.00
272.14,265.18,62.00,10.00
210.83,44.00,55.00,9.00
189.36,74.95,41.00,8.00
246.62,85.16,58.00,9.00
183.04,82.71,48.00,9.00
245.93,70.58,58.00,9.00
213.14,289.86,60.00,10.00
219.46,297.61,63.00,10.00
100.05,153.07,13.00,3.00
205.19,295.92,63.00,10.00
91.66,200.99,43.00,5.00
82.64,196.66,66.00,5.00
255.20,66.83,59.00,9.00
264.22,71.15,72.00,10.00
91.59,210.99,66.00,5.00
183.81,182.32,7.00,3.00
242.25,259.25,49.00,9.00
279.39,272.07,64.00,11.00
258.27,271.11,62.00,10.00
89.51,220.77,77.00,6.00
249.35,275.63,83.00,10.00
203.43,37.28,65.00,10.00
279.79,258.73,64.00,11.00
248.15,276.45,83.00,10.00
274.03,69.19,79.00,10.00
289.68,257.24,67.00,11.00
277.15,59.69,80.00,11.00
86.09,230.17,81.00,6.00
297.50,263.47,89.00,12.00
91.42,148.02,45.00,4.00
218.16,178.15,19.00,5.00
174.71,118.72,24.00,5.00
185.13,192.23,14.00,4.00
82.91,142.75,75.00,4.00
277.54,78.55,80.00,11.00
283.57,281.15,67.00,11.00
306.40,268.03,92.00,12.00
197.98,302.84,73.00,11.00
81.80,239.20,86.00,7.00
72.73,197.96,77.00,6.00
96.30,108.38,37.00,5.00
314.31,261.91,95.00,13.00
270.60,52.14,91.00,11.00
202.49,150.34,20.00,4.00
198.49,312.83,76.00,11.00
203.70,152.95,51.00,4.00
73.05,244.04,94.00,7.00
63.17,245.60,105.00,8.00
318.60,252.88,103.00,13.00
188.50,313.11,104.00,12.00
328.60,252.79,108.00,14.00
74.21,147.68,96.00,5.00
61.17,255.40,113.00,8.00
338.48,251.28,115.00,14.00
64.51,145.25,100.00,5.00
51.17,255.47,114.00,9.00
51.35,265.47,119.00,9.00
284.41,291.12,84.00,12.00
87.87,102.99,42.00,5.00
70.53,252.36,105.00,8.00
136.39,127.76,8.00,2.00
196.41,272.40,54.00,9.00
291.97,297.66,102.00,12.00
207.08,249.30,38.00,7.00
54.19,248.24,113.00,8.00
168.48,110.90,52.00,5.00
51.78,275.46,122.00,10.00
56.24,150.88,118.00,6.00
220.31,89.03,33.00,7.00
287.07,58.44,91.00,11.00
60.19,280.87,123.00,10.00
341.39,260.84,117.00,15.00
180.19,318.68,111.00,12.00
64.54,289.87,133.00,11.00
210.71,171.47,15.00,4.00
59.13,136.83,118.00,6.00
296.02,62.90,93.00,12.00
305.30,59.17,136.00,12.00
173.24,325.87,116.00,13.00
161.52,169.56,3.00,2.00
345.87,269.79,120.00,15.00
178.75,334.22,139.00,13.00
163.19,102.41,98.00,6.00
227.61,95.86,35.00,7.00
176.71,344.01,145.00,14.00
58.74,298.02,137.00,11.00
238.47,63.92,58.00,9.00
87.09,157.04,75.00,4.00
46.66,153.74,121.00,6.00
41.38,264.66,122.00,10.00
312.71,52.46,143.00,13.00
323.92,264.68,103.00,13.00
216.28,274.44,47.00,9.00
61.76,276.10,123.00,10.00
51.90,305.31,140.00,12.00
257.05,282.00,85.00,11.00
48.30,240.16,114.00,9.00
321.88,48.47,144.00,13.00
354.93,265.57,138.00,16.00
167.49,347.86,148.00,14.00
186.47,273.49,60.00,10.00
331.77,46.97,157.00,14.00
42.55,308.86,152.00,12.00
45.63,318.37,161.00,13.00
83.79,186.73,66.00,5.00
32.76,306.81,161.00,13.00
45.39,163.66,134.00,7.00
160.90,355.39,151.00,15.00
51.41,130.47,121.00,6.00
61.40,248.13,113.00,8.00
66.89,303.80,140.00,12.00
252.72,263.45,57.00,10.00
364.93,265.64,147.00,16.00
60.30,254.54,113.00,8.00
367.34,255.94,165.00,17.00
97.97,158.48,13.00,3.00
194.01,33.91,68.00,10.00
310.80,67.52,143.00,13.00
36.72,154.83,134.00,7.00
219.35,38.77,65.00,10.00
238.83,280.06,87.00,11.00
176.48,273.79,128.00,10.00
162.01,339.49,145.00,14.00
236.88,79.84,46.00,8.00
366.66,275.49,165.00,17.00
159.84,365.33,166.00,15.00
51.44,326.51,169.00,13.00
247.31,284.24,85.00,11.00
42.52,125.89,142.00,7.00
100.86,166.26,13.00,3.00
359.61,282.59,147.00,16.00
155.74,163.94,0.00,1.00
317.52,74.92,144.00,13.00
133.55,198.91,6.00,3.00
167.76,278.69,167.00,11.00
300.90,293.16,124.00,13.00
295.68,52.91,93.00,12.00
79.96,109.12,107.00,6.00
49.38,336.30,170.00,14.00
81.31,206.57,77.00,6.00
273.29,42.50,93.00,12.00
27.77,150.36,155.00,7.00
157.76,278.74,188.00,11.00
57.41,160.81,121.00,6.00
32.09,268.34,123.00,10.00
287.52,79.30,91.00,11.00
44.52,230.90,131.00,9.00
44.55,345.05,193.00,14.00
167.35,371.94,174.00,16.00
271.12,277.70,64.00,11.00
147.93,159.78,0.00,1.00
26.78,314.82,169.00,13.00
153.74,333.87,166.00,15.00
84.38,132.86,96.00,5.00
193.96,23.91,88.00,11.00
178.69,199.88,82.00,4.00
244.82,293.93,87.00,11.00
158.06,139.97,0.00,1.00
176.85,375.06,192.00,16.00
34.82,228.49,163.00,10.00
320.82,84.36,184.00,14.00
117.72,113.66,27.00,3.00
26.57,234.14,213.00,10.00
184.81,19.89,183.00,11.00
23.44,159.37,185.00,8.00
160.15,288.45,201.00,12.00
228.69,35.19,68.00,10.00
33.55,121.47,175.00,7.00
131.64,104.52,27.00,3.00
318.92,94.18,199.00,14.00
341.77,46.83,164.00,14.00
346.91,55.41,168.00,15.00
186.19,371.50,215.00,17.00
53.66,349.18,205.00,15.00
254.32,76.02,59.00,9.00
246.69,95.16,150.00,8.00
76.40,300.69,140.00,12.00
320.62,69.41,144.00,13.00
32.76,322.83,169.00,13.00
342.14,49.86,168.00,15.00
189.33,303.15,76.00,11.00
76.76,290.70,137.00,11.00
349.87,40.97,168.00,15.00
259.67,281.01,64.00,11.00
85.33,285.53,248.00,12.00
151.43,324.14,189.00,15.00
87.51,247.40,94.00,7.00
352.78,63.50,237.00,15.00
17.51,311.07,172.00,14.00
18.66,146.22,185.00,8.00
169.77,163.90,3.00,2.00
36.20,218.58,213.00,10.00
215.87,221.54,22.00,6.00
22.75,169.34,208.00,8.00
106.61,174.44,13.00,3.00
34.97,226.33,163.00,10.00
357.26,292.31,197.00,17.00
